Issue Number,Type,Title,Labels,Priority,Phase,Parent Epic,Blocking Launch,Description,Depends On,Blocks
160,Epic,[Epic] Net-Weight Order Lifecycle & Off-Session Capture,"epic, orders, payments, net-weight",P0,phase:2,,Yes,"Stitch together products, orders, and payments into one coherent net-weight flow. Covers order states, estimate vs actual pricing, off-session capture strategy, and edge cases for 60-90 day pre-order windows.",,#164-#170
161,Epic,[Epic] Pick & Weigh Staff Workflow (UI + API),"epic, admin, warehouse, orders",P0,phase:2,,Yes,"Dedicated warehouse staff workflow for entering actual weights, previewing recalculated totals, and triggering payment capture. Essential for net-weight business logic to function.",,#171-#177
162,Epic,[Epic] Legacy System Data Migration Plan & Execution,"epic, migration, data",P0,phase:1,,Yes,"First-class migration concern from legacy JSP platform. Covers discovery, mapping, export/transform scripts, staging validation, and production cutover playbook.",,#178-#183
163,Epic,[Epic] QA UAT & Launch Readiness,"epic, qa, launch",P0,phase:4,,Yes,"Human and operational pieces: UAT by Grillers Pride staff, cutover plan, and 30-day post-launch warranty.",,#184-#188
164,Feature,[Orders] Define Net-Weight Order State Machine,"orders, state-machine, documentation",P0,phase:2,#160,Yes,"Define explicit order states: PLACED_ESTIMATED (customer checked out with estimated total, payment method stored), WEIGHED (staff entered actual weights, totals recomputed), CAPTURED (final off-session charge succeeded), FULFILLED (shipped/picked up), CANCELLED (with refund behavior rules). Deliverables: state machine diagram, transition rules, mapping of events/workflows to state transitions.",,"#165, #166, #167, #168, #169, #170, #171"
165,Feature,[Orders] Estimate vs Actual Pricing Rules Engine,"orders, pricing, net-weight",P0,phase:2,#160,Yes,"Implement rules for: (1) How estimate is calculated at checkout from product metadata, (2) How actual weights are recorded and difference applied, (3) Min/max variance thresholds and handling when exceeded (e.g., notify customer if >20% variance), (4) Integration with #142 weight-based pricing and order state.","#142, #164","#166, #172, #173"
166,Feature,[Payments] Off-Session Capture Strategy (No Long-Lived Auth),"payments, stripe, off-session",P0,phase:2,#160,Yes,"Replace long-lived authorization model per brief requirements. At checkout: use SetupIntent + saved payment method (not auth hold). At WEIGHED state: create new PaymentIntent for final amount, charge off-session using stored method. Handle failures: retry strategy (3 attempts with backoff), customer + admin notifications, fallback flow (one-time payment link via email/SMS).","#139, #140, #164, #165","#170, #174"
167,Feature,[Orders] Mixed Cart Handling (Variable + Fixed Price Items),"orders, cart, net-weight",P1,phase:2,#160,Yes,"Handle carts containing both variable-weight (net-weight) and fixed-price items in same order. Ensure: correct estimate/actual calculations per line type, proper state transitions, payment capture handles both types, clear customer communication showing which items are estimated vs final.",#164,
168,Feature,[Orders] Partial Fills & Short Picks,"orders, fulfillment, inventory",P1,phase:2,#160,Yes,"Handle scenarios where fewer units/packs available than ordered. Implement: partial fill logic and quantity adjustments, pricing recalculation for reduced quantity, customer notification with options (accept partial or cancel), order state handling for partial fulfillment, inventory sync accuracy.",#164,
169,Feature,[Orders] Substitution Handling & Price Adjustments,"orders, substitutions, pricing",P1,phase:2,#160,Yes,"Implement substitution workflow: staff can mark item as substituted with replacement product, price adjustment calculation (credit/charge difference), tax recalculation for substituted items, QB sync with correct line items, customer-facing documents show original and substitution, optional customer approval flow for significant price changes.",#164,
